Nazwa kierunku,Poziom kształcenia,Profil kształcenia,Tytuł zawodowy,Forma kształcenia,Dyscyplina (Obszar/Dziedzina),Instytucja/jednostka
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Informatyki i Zarządzania im. Prof. Tadeusza Kotarbińskiego z siedzibą w Olsztynie; Wydział Nauk Technicznych i Społecznych
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
ekonomia (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
finanse (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)",Uniwersytet Ekonomiczny w Katowicach; Wydział Informatyki i Komunikacji
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
ekonomia (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
finanse (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)",Uniwersytet Ekonomiczny w Katowicach; Wydział Informatyki i Komunikacji
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Państwowa Wyższa Szkoła Zawodowa im. rotmistrza Witolda Pileckiego w Oświęcimiu
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Państwowa Wyższa Szkoła Zawodowa im. rotmistrza Witolda Pileckiego w Oświęcimiu
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Europejska Uczelnia Informatyczno-Ekonomiczna w Warszawie; Wydział Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie; Wydział Nauk Technicznych
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Matematyczno-Fizyczno-Techniczny
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Matematyczno-Fizyczno-Techniczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa im. Hipolita Cegielskiego w Gnieźnie
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa im. Hipolita Cegielskiego w Gnieźnie
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Państwowa Wyższa Szkoła Zawodowa im. Hipolita Cegielskiego w Gnieźnie
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa im. Hipolita Cegielskiego w Gnieźnie
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa im. Hipolita Cegielskiego w Gnieźnie
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Polsko-Japońska Akademia Technik Komputerowych; Wydział Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Państwowa Wyższa Szkoła Zawodowa w Nysie
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Państwowa Wyższa Szkoła Zawodowa w Nysie
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Państwowa Wyższa Szkoła Zawodowa w Nysie
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Państwowa Wyższa Szkoła Zawodowa w Nysie
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Państwowa Wyższa Szkoła Zawodowa w Nysie
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Szczecińska Szkoła Wyższa Collegium Balticum w Szczecinie; Wydział Nauk Humanistycznych, Społecznych i Technicznych"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Niestacjonarne,,"Szczecińska Szkoła Wyższa Collegium Balticum w Szczecinie; Wydział Nauk Humanistycznych, Społecznych i Technicznych"
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Szczecińska Szkoła Wyższa Collegium Balticum w Szczecinie; Wydział Nauk Humanistycznych, Społecznych i Technicznych"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu; Wydział Nauk Społecznych i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu; Wydział Nauk Społecznych i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu; Wydział Nauk Społecznych i Informatyki
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu; Wydział Nauk Społecznych i Informatyki
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu; Wydział Nauk Społecznych i Informatyki
Informatyka,Pierwszego stopnia,Praktyczny,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Bankowa z siedzibą w Gdańsku; Wydział Ekonomii i Zarządzania w Gdyni
Informatyka,Pierwszego stopnia,Praktyczny,Licencjat lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Bankowa z siedzibą w Gdańsku; Wydział Ekonomii i Zarządzania w Gdyni
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Bankowa z siedzibą w Gdańsku; Wydział Ekonomii i Zarządzania w Gdyni
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Bankowa z siedzibą w Gdańsku; Wydział Ekonomii i Zarządzania w Gdyni
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Społeczna Akademia Nauk z siedzibą w Łodzi; Filia Społecznej Akademii Nauk w Warszawie; Wydział Nauk Humanistycznych w Warszawie
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Społeczna Akademia Nauk z siedzibą w Łodzi; Filia Społecznej Akademii Nauk w Warszawie; Wydział Nauk Humanistycznych w Warszawie
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Społeczna Akademia Nauk z siedzibą w Łodzi; Filia Społecznej Akademii Nauk w Warszawie; Wydział Nauk Humanistycznych w Warszawie
Informatyka,Pierwszego stopnia,Praktyczny,Licencjat lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wyższa Szkoła Handlowa we Wrocławiu; Wydział Ekonomiczno-Menedżerski
Informatyka,Pierwszego stopnia,Praktyczny,Licencjat lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Wyższa Szkoła Handlowa we Wrocławiu; Wydział Ekonomiczno-Menedżerski
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
ekonomia (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)",Wyższa Szkoła Bankowa w Poznaniu; Wydział Zamiejscowy w Chorzowie
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
ekonomia (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)",Wyższa Szkoła Bankowa w Poznaniu; Wydział Zamiejscowy w Chorzowie
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Akademia Finansów i Biznesu Vistula; Wydział Inżynierski
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Akademia Finansów i Biznesu Vistula; Wydział Inżynierski
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
dziedzina nauk o kulturze fizycznej (Obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej/dziedzina nauk o kulturze fizycznej)
ekonomia (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
językoznawstwo (Obszar nauk humanistycznych/dziedzina nauk humanistycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
nauki o poznaniu i komunikacji społecznej (Obszar nauk społecznych/dziedzina nauk społecznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
prawo (Obszar nauk społecznych/dziedzina nauk prawnych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Wyższa Szkoła Technologii Informatycznych w Katowicach; Wydział Informatyki
Informatyka,Drugiego stopnia,Praktyczny,Magister inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
dziedzina nauk o kulturze fizycznej (Obszar nauk medycznych i nauk o zdrowiu oraz nauk o kulturze fizycznej/dziedzina nauk o kulturze fizycznej)
ekonomia (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
językoznawstwo (Obszar nauk humanistycznych/dziedzina nauk humanistycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
nauki o poznaniu i komunikacji społecznej (Obszar nauk społecznych/dziedzina nauk społecznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)
prawo (Obszar nauk społecznych/dziedzina nauk prawnych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Wyższa Szkoła Technologii Informatycznych w Katowicach; Wydział Informatyki
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Akademia Humanistyczno-Ekonomiczna w Łodzi; Wydział Informatyki, Zarządzania i Transportu"
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Akademia Humanistyczno-Ekonomiczna w Łodzi; Wydział Informatyki, Zarządzania i Transportu"
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Wyższa Szkoła Techniczna w Katowicach; Wydział Architektury, Budownictwa i Sztuk Stosowanych"
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Wyższa Szkoła Techniczna w Katowicach; Wydział Architektury, Budownictwa i Sztuk Stosowanych"
Informatyka,Pierwszego stopnia,Praktyczny,Licencjat lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Państwowa Wyższa Szkoła Zawodowa w Koninie; Wydział Społeczno-Techniczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie; Wydział Informatyki Stosowanej
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie; Wydział Informatyki Stosowanej
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie; Wydział Informatyki Stosowanej
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie; Wydział Informatyki Stosowanej
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)
telekomunikacja (Obszar nauk technicznych/dziedzina nauk technicznych)",Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie; Wydział Informatyki Stosowanej
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
inżynieria materiałowa (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
inżynieria materiałowa (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
inżynieria materiałowa (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)
inżynieria materiałowa (Obszar nauk technicznych/dziedzina nauk technicznych)",Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Śląska; Wydział Matematyki Stosowanej
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Politechnika Śląska; Wydział Matematyki Stosowanej
